from,to,node_name,rank,definition,tree_name
APHIA:103456,FUNCTIONAL:COLONIAL_ASCIDIAN,Didemnum sp,NA,NA,fouling
APHIA:250134,FUNCTIONAL:COLONIAL_ASCIDIAN,Diplosoma glandulosum,NA,NA,fouling
APHIA:103579,FUNCTIONAL:COLONIAL_ASCIDIAN,Diplosoma listerianum,NA,NA,fouling
APHIA:103457,FUNCTIONAL:COLONIAL_ASCIDIAN,Diplosoma sp,NA,NA,fouling
APHIA:103582,FUNCTIONAL:COLONIAL_ASCIDIAN,Diplosoma spongiforme,NA,NA,fouling
APHIA:103604,FUNCTIONAL:COLONIAL_ASCIDIAN,Distaplia bermudensis,NA,NA,fouling
APHIA:103756,FUNCTIONAL:COLONIAL_ASCIDIAN,Ecteinascidia turbinata,NA,NA,fouling
APHIA:250201,FUNCTIONAL:COLONIAL_ASCIDIAN,Eudistoma capsulatum,NA,NA,fouling
APHIA:250236,FUNCTIONAL:COLONIAL_ASCIDIAN,Eudistoma olivaceum,NA,NA,fouling
APHIA:103465,FUNCTIONAL:COLONIAL_ASCIDIAN,Eudistoma sp nov,NA,NA,fouling
APHIA:103459,FUNCTIONAL:COLONIAL_ASCIDIAN,Lissoclinum sp,NA,NA,fouling
APHIA:103761,FUNCTIONAL:COLONIAL_ASCIDIAN,Perophora viridis,NA,NA,fouling
APHIA:103895,FUNCTIONAL:COLONIAL_ASCIDIAN,Polyandrocarpa zorritensis,NA,NA,fouling
APHIA:215891,FUNCTIONAL:COLONIAL_ASCIDIAN,Polyclinum constellatum,NA,NA,fouling
APHIA:251435,FUNCTIONAL:COLONIAL_ASCIDIAN,Symplegma brakenhielmi,NA,NA,fouling
APHIA:212500,FUNCTIONAL:COLONIAL_ASCIDIAN,Symplegma rubra,NA,NA,fouling
APHIA:129199,FUNCTIONAL:OTHER_POLYCHAETES,Arabella sp,NA,NA,fouling
APHIA:209871,FUNCTIONAL:OTHER_POLYCHAETES,Cirriformia filigera,NA,NA,fouling
UNDEFINED:DORVILLIA_SP,FUNCTIONAL:OTHER_POLYCHAETES,Dorvillia sp,NA,NA,fouling
APHIA:330550,FUNCTIONAL:OTHER_POLYCHAETES,Phragmatopoma caudata,NA,NA,fouling
APHIA:131143,FUNCTIONAL:OTHER_POLYCHAETES,Polydora cornuta,NA,NA,fouling
APHIA:249968,FUNCTIONAL:SOLITARY_ASCIDIAN,Ascidia archaia,NA,NA,fouling
APHIA:249981,FUNCTIONAL:SOLITARY_ASCIDIAN,Ascidia curvata,NA,NA,fouling
APHIA:103483,FUNCTIONAL:SOLITARY_ASCIDIAN,Ascidia sp,NA,NA,fouling
APHIA:215940,FUNCTIONAL:SOLITARY_ASCIDIAN,Ascidia sydneiensis,NA,NA,fouling
APHIA:103830,FUNCTIONAL:SOLITARY_ASCIDIAN,Herdmania momus,NA,NA,fouling
APHIA:103838,FUNCTIONAL:SOLITARY_ASCIDIAN,Microcosmus exasperatus,NA,NA,fouling
APHIA:103788,FUNCTIONAL:SOLITARY_ASCIDIAN,Molgula manhattensis,NA,NA,fouling
APHIA:103790,FUNCTIONAL:SOLITARY_ASCIDIAN,Molgula occidentalis,NA,NA,fouling
APHIA:103725,FUNCTIONAL:SOLITARY_ASCIDIAN,Phallusia nigra,NA,NA,fouling
APHIA:103926,FUNCTIONAL:SOLITARY_ASCIDIAN,Styela canopus,NA,NA,fouling
APHIA:103936,FUNCTIONAL:SOLITARY_ASCIDIAN,Styela plicata,NA,NA,fouling
APHIA:111800,FUNCTIONAL:KAMPTOZOA,Barentsia benedeni,NA,NA,fouling
APHIA:168252,FUNCTIONAL:SPONGE,Biemna caribea,NA,NA,fouling
APHIA:131804,FUNCTIONAL:SPONGE,Ciocalypta sp,NA,NA,fouling
APHIA:131729,FUNCTIONAL:SPONGE,Clathrina sp,NA,NA,fouling
APHIA:132005,FUNCTIONAL:SPONGE,Geodia sp,NA,NA,fouling
APHIA:131807,FUNCTIONAL:SPONGE,Halichondria cf magniconulosa,NA,NA,fouling
UNDEFINED:HALICLONA_IMPLEXIFORMIS,FUNCTIONAL:SPONGE,Haliclona implexiformis,NA,NA,fouling
APHIA:166490,FUNCTIONAL:SPONGE,Haliclona tubulifera,NA,NA,fouling
UNDEFINED:MYCALE_MICROSIGMATOSA,FUNCTIONAL:SPONGE,Mycale microsigmatosa,NA,NA,fouling
APHIA:558,FUNCTIONAL:SPONGE,Porifera,NA,NA,fouling
APHIA:132251,FUNCTIONAL:SPONGE,Sycon ciliatum,NA,NA,fouling
APHIA:404078,FUNCTIONAL:SPONGE,Tedania ignis,NA,NA,fouling
