from,to,scientific_id,type,code,rank,definition,tree_name
Lunella undulata,Lunella,urn:lsid:marinespecies.org:taxname:579271,NA,NA,Species,NA,oyster_density
Astralium rhodostomum,Astralium,urn:lsid:marinespecies.org:taxname:413389,NA,NA,Species,NA,oyster_density
Astralium phoebium,Astralium,urn:lsid:marinespecies.org:taxname:419498,NA,NA,Species,NA,oyster_density
Lithopoma caelatum,Lithopoma,urn:lsid:marinespecies.org:taxname:413408,NA,NA,Species,NA,oyster_density
Lithopoma phoebium,Lithopoma,urn:lsid:marinespecies.org:taxname:413409,NA,NA,Species,NA,oyster_density
Lithopoma tectum,Lithopoma,urn:lsid:marinespecies.org:taxname:419499,NA,NA,Species,NA,oyster_density
Prisogaster niger,Prisogaster,urn:lsid:marinespecies.org:taxname:413385,NA,NA,Species,NA,oyster_density
Vasula deltoidea,Vasula,urn:lsid:marinespecies.org:taxname:714225,NA,NA,Species,NA,oyster_density
Chicoreus dilectus,Chicoreus,urn:lsid:marinespecies.org:taxname:419938,NA,NA,Species,NA,oyster_density
Calotrophon ostrearum,Calotrophon,urn:lsid:marinespecies.org:taxname:406356,NA,NA,Species,NA,oyster_density
Phyllonotus pomum,Phyllonotus,urn:lsid:marinespecies.org:taxname:419944,NA,NA,Species,NA,oyster_density
Nucella lapillus,Nucella,urn:lsid:marinespecies.org:taxname:140403,NA,NA,Species,NA,oyster_density
Urosalpinx cinerea,Urosalpinx,urn:lsid:marinespecies.org:taxname:140429,NA,NA,Species,NA,oyster_density
Claremontiella nodulosa,Claremontiella,urn:lsid:marinespecies.org:taxname:1335417,NA,NA,Species,NA,oyster_density
Coralliophila erosa,Coralliophila,urn:lsid:marinespecies.org:taxname:208126,NA,NA,Species,NA,oyster_density
Coralliophila galea,Coralliophila,urn:lsid:marinespecies.org:taxname:419934,NA,NA,Species,NA,oyster_density
Coralliophila salebrosa,Coralliophila,urn:lsid:marinespecies.org:taxname:709212,NA,NA,Species,NA,oyster_density
Coralliophila abbreviata,Coralliophila,urn:lsid:marinespecies.org:taxname:827203,NA,NA,Species,NA,oyster_density
Babelomurex mansfieldi,Babelomurex,urn:lsid:marinespecies.org:taxname:410856,NA,NA,Species,NA,oyster_density
Murexsul oxytatus,Murexsul,urn:lsid:marinespecies.org:taxname:407876,NA,NA,Species,NA,oyster_density
Buccinum undatum,Buccinum,urn:lsid:marinespecies.org:taxname:138878,NA,NA,Species,NA,oyster_density
Nassarius acutus,Nassarius,urn:lsid:marinespecies.org:taxname:160395,NA,NA,Species,NA,oyster_density
Phrontis vibex,Phrontis,urn:lsid:marinespecies.org:taxname:877061,NA,NA,Species,NA,oyster_density
Phrontis tiarula,Phrontis,urn:lsid:marinespecies.org:taxname:1497938,NA,NA,Species,NA,oyster_density
Antillophos candeanus,Antillophos,urn:lsid:marinespecies.org:taxname:419959,NA,NA,Species,NA,oyster_density
Leucozonia nassa,Leucozonia,urn:lsid:marinespecies.org:taxname:420044,NA,NA,Species,NA,oyster_density
Leucozonia ocellata,Leucozonia,urn:lsid:marinespecies.org:taxname:420045,NA,NA,Species,NA,oyster_density
Fasciolaria tulipa,Fasciolaria,urn:lsid:marinespecies.org:taxname:420024,NA,NA,Species,NA,oyster_density
Triplofusus giganteus,Triplofusus,urn:lsid:marinespecies.org:taxname:420051,NA,NA,Species,NA,oyster_density
Oliva sayana,Oliva,urn:lsid:marinespecies.org:taxname:208387,NA,NA,Species,NA,oyster_density
Oliva reticularis,Oliva,urn:lsid:marinespecies.org:taxname:420126,NA,NA,Species,NA,oyster_density
Prunum apicinum,Prunum,urn:lsid:marinespecies.org:taxname:420149,NA,NA,Species,NA,oyster_density
Voluta,Volutini,urn:lsid:marinespecies.org:taxname:382264,NA,NA,Genus,NA,oyster_density
Vermicularia knorrii,Vermicularia,urn:lsid:marinespecies.org:taxname:419546,NA,NA,Species,NA,oyster_density
Cerithium litteratum,Cerithium,urn:lsid:marinespecies.org:taxname:216687,NA,NA,Species,NA,oyster_density
Cerithium atratum,Cerithium,urn:lsid:marinespecies.org:taxname:224572,NA,NA,Species,NA,oyster_density
Cerithium guinaicum,Cerithium,urn:lsid:marinespecies.org:taxname:224773,NA,NA,Species,NA,oyster_density
Cerithium eburneum,Cerithium,urn:lsid:marinespecies.org:taxname:419521,NA,NA,Species,NA,oyster_density
Cerithium lutosum,Cerithium,urn:lsid:marinespecies.org:taxname:419522,NA,NA,Species,NA,oyster_density
Cerithium muscarum,Cerithium,urn:lsid:marinespecies.org:taxname:419523,NA,NA,Species,NA,oyster_density
Bittiolum varium,Bittiolum,urn:lsid:marinespecies.org:taxname:160174,NA,NA,Species,NA,oyster_density
Cacozeliana granarium,Cacozeliana,urn:lsid:marinespecies.org:taxname:473085,NA,NA,Species,NA,oyster_density
Marshallora nigrocincta,Marshallora,urn:lsid:marinespecies.org:taxname:160363,NA,NA,Species,NA,oyster_density
Marshallora modesta,Marshallora,urn:lsid:marinespecies.org:taxname:419905,NA,NA,Species,NA,oyster_density
Lacuna vincta,Lacuna,urn:lsid:marinespecies.org:taxname:140170,NA,NA,Species,NA,oyster_density
Lacuna turrita,Lacuna,urn:lsid:marinespecies.org:taxname:446893,NA,NA,Species,NA,oyster_density
Littorina littorea,Littorina,urn:lsid:marinespecies.org:taxname:140262,NA,NA,Species,NA,oyster_density
Cyphoma gibbosum,Cyphoma,urn:lsid:marinespecies.org:taxname:432297,NA,NA,Species,NA,oyster_density
Macrocypraea,Mauritiini,urn:lsid:marinespecies.org:taxname:415594,NA,NA,Genus,NA,oyster_density
Naria acicularis,Naria,urn:lsid:marinespecies.org:taxname:1075023,NA,NA,Species,NA,oyster_density
Luria,Luriini,urn:lsid:marinespecies.org:taxname:137877,NA,NA,Genus,NA,oyster_density
Sinum perspectivum,Sinum,urn:lsid:marinespecies.org:taxname:160053,NA,NA,Species,NA,oyster_density
Cassis tuberosa,Cassis,urn:lsid:marinespecies.org:taxname:224977,NA,NA,Species,NA,oyster_density
Peringia ulvae,Peringia,urn:lsid:marinespecies.org:taxname:151628,NA,NA,Species,NA,oyster_density
Ecrobia ventrosa,Ecrobia,urn:lsid:marinespecies.org:taxname:238104,NA,NA,Species,NA,oyster_density
Ecrobia truncata,Ecrobia,urn:lsid:marinespecies.org:taxname:574096,NA,NA,Species,NA,oyster_density
Angustassiminea californica,Angustassiminea,urn:lsid:marinespecies.org:taxname:845921,NA,NA,Species,NA,oyster_density
Caecum floridanum,Caecum,urn:lsid:marinespecies.org:taxname:419588,NA,NA,Species,NA,oyster_density
Meioceras nitidum,Meioceras,urn:lsid:marinespecies.org:taxname:419602,NA,NA,Species,NA,oyster_density
Bithynia tentaculata,Bithynia,urn:lsid:marinespecies.org:taxname:182699,NA,NA,Species,NA,oyster_density
Littoridinops monroensis,Littoridinops,urn:lsid:marinespecies.org:taxname:159912,NA,NA,Species,NA,oyster_density
Spurwinkia salsa,Spurwinkia,urn:lsid:marinespecies.org:taxname:160412,NA,NA,Species,NA,oyster_density
Lottia,Lottiini,urn:lsid:marinespecies.org:taxname:160336,NA,NA,Genus,NA,oyster_density
Tritoniidae,Tritonioidea,urn:lsid:marinespecies.org:taxname:183,NA,NA,Family,NA,oyster_density
Corambidae,Onchidoridoidea,urn:lsid:marinespecies.org:taxname:10124,NA,NA,Family,NA,oyster_density
Chromodorididae,Chromodoridoidea,urn:lsid:marinespecies.org:taxname:23003,NA,NA,Family,NA,oyster_density
Chelidonura hirundinina,Chelidonura,urn:lsid:marinespecies.org:taxname:420528,NA,NA,Species,NA,oyster_density
Bulla striata,Bulla,urn:lsid:marinespecies.org:taxname:138940,NA,NA,Species,NA,oyster_density
Bulla gouldiana,Bulla,urn:lsid:marinespecies.org:taxname:510427,NA,NA,Species,NA,oyster_density
Acteocina canaliculata,Acteocina,urn:lsid:marinespecies.org:taxname:160065,NA,NA,Species,NA,oyster_density
Haminoea antillarum,Haminoea,urn:lsid:marinespecies.org:taxname:420524,NA,NA,Species,NA,oyster_density
Haminoea succinea,Haminoea,urn:lsid:marinespecies.org:taxname:420526,NA,NA,Species,NA,oyster_density
Haminoea petitii,Haminoea,urn:lsid:marinespecies.org:taxname:532293,NA,NA,Species,NA,oyster_density
Haloa japonica,Haloa,urn:lsid:marinespecies.org:taxname:1374250,NA,NA,Species,NA,oyster_density
Cylichna discus,Cylichna,urn:lsid:marinespecies.org:taxname:532716,NA,NA,Species,NA,oyster_density
Elysia crispata,Elysia,urn:lsid:marinespecies.org:taxname:420572,NA,NA,Species,NA,oyster_density
Elysia pratensis,Elysia,urn:lsid:marinespecies.org:taxname:494468,NA,NA,Species,NA,oyster_density
Peregrianini,Amphipepleinae,urn:lsid:marinespecies.org:taxname:1721377,NA,NA,Tribe,NA,oyster_density
Odostomia laevigata,Odostomia,urn:lsid:marinespecies.org:taxname:420457,NA,NA,Species,NA,oyster_density
Pyramidellini,Pyramidellinae,urn:lsid:marinespecies.org:taxname:411865,NA,NA,Tribe,NA,oyster_density
Turbonilla,Turbonillinae,urn:lsid:marinespecies.org:taxname:138421,NA,NA,Genus,NA,oyster_density
Boonea bisuturalis,Boonea,urn:lsid:marinespecies.org:taxname:397024,NA,NA,Species,NA,oyster_density
Boonea impressa,Boonea,urn:lsid:marinespecies.org:taxname:420437,NA,NA,Species,NA,oyster_density
Aplysia dactylomela,Aplysia,urn:lsid:marinespecies.org:taxname:138753,NA,NA,Species,NA,oyster_density
Aplysia parvula,Aplysia,urn:lsid:marinespecies.org:taxname:138757,NA,NA,Species,NA,oyster_density
Voluta polypleura,Voluta,urn:lsid:marinespecies.org:taxname:382543,NA,NA,Species,NA,oyster_density
Macrocypraea cervus,Macrocypraea,urn:lsid:marinespecies.org:taxname:419722,NA,NA,Species,NA,oyster_density
Macrocypraea zebra,Macrocypraea,urn:lsid:marinespecies.org:taxname:419723,NA,NA,Species,NA,oyster_density
Luria cinerea,Luria,urn:lsid:marinespecies.org:taxname:390557,NA,NA,Species,NA,oyster_density
Tritoniinae,Tritoniidae,urn:lsid:marinespecies.org:taxname:1669234,NA,NA,Subfamily,NA,oyster_density
Corambe,Corambidae,urn:lsid:marinespecies.org:taxname:137839,NA,NA,Genus,NA,oyster_density
Chromodoridinae,Chromodorididae,urn:lsid:marinespecies.org:taxname:1370610,NA,NA,Subfamily,NA,oyster_density
Ampullaceana,Peregrianini,urn:lsid:marinespecies.org:taxname:1288015,NA,NA,Genus,NA,oyster_density
Pyramidella,Pyramidellini,urn:lsid:marinespecies.org:taxname:160041,NA,NA,Genus,NA,oyster_density
Turbonilla toyatani,Turbonilla,urn:lsid:marinespecies.org:taxname:160091,NA,NA,Species,NA,oyster_density
Turbonilla dalli,Turbonilla,urn:lsid:marinespecies.org:taxname:420483,NA,NA,Species,NA,oyster_density
Tritonia,Tritoniinae,urn:lsid:marinespecies.org:taxname:138580,NA,NA,Genus,NA,oyster_density
Corambe obscura,Corambe,urn:lsid:marinespecies.org:taxname:139407,NA,NA,Species,NA,oyster_density
Chromodoris,Chromodoridinae,urn:lsid:marinespecies.org:taxname:137782,NA,NA,Genus,NA,oyster_density
Doriprismatica,Chromodoridinae,urn:lsid:marinespecies.org:taxname:558470,NA,NA,Genus,NA,oyster_density
Ampullaceana balthica,Ampullaceana,urn:lsid:marinespecies.org:taxname:1288085,NA,NA,Species,NA,oyster_density
Chromodoris kempfi,Chromodoris,urn:lsid:marinespecies.org:taxname:558675,NA,NA,Species,NA,oyster_density
Doriprismatica sedna,Doriprismatica,urn:lsid:marinespecies.org:taxname:597380,NA,NA,Species,NA,oyster_density
